Тип_изделия;Подтип;Коэффициент_трудоёмкости_базовый;Коэффициент_сложности_дизайна_мин;Коэффициент_сложности_дизайна_макс;Время_изготовления_часы_мин;Время_изготовления_часы_макс;Особенности
Кольцо;Гладкое;1.0;1.0;1.0;1;2;Без камней, простая полировка
Кольцо;С фианитом;1.0;1.1;1.3;2;3;Один камень, простая оправа
Кольцо;С бриллиантом (паве);1.0;1.5;1.8;3;5;Мелкая россыпь камней
Кольцо;Филигранное;1.0;1.8;2.0;4;6;Ручная вязка, орнамент
Кольцо;Помолвочное;1.0;1.2;1.5;2;4;С центральным крупным камнем
Серьги;Гвоздики;1.3;1.0;1.2;1;2;Простые, один камень
Серьги;Конго;1.3;1.1;1.4;2;3;Средний размер, замок-петля
Серьги;Люстры;1.3;1.8;2.0;5;8;Многоуровневые, сложная сборка
Серьги;Французский замок;1.3;1.3;1.6;3;5;Классическая форма
Серьги;Кольца;1.3;1.2;1.5;2;4;Цельные, без замка
Браслет;Якорное плетение;1.8;1.2;1.4;3;5;Цепочка, классикаЫ
Браслет;Панцирное плетение;1.8;1.4;1.6;4;6;Плотное плетение, прочный
Браслет;С замочком-карабином;1.8;1.1;1.3;2;4;Стандартный замок
Браслет;Жёсткий (сеньоры);1.8;1.5;1.8;5;8;Цельнолитой, замок-коробка
Браслет;С камнями по всему периметру;1.8;2.0;2.5;6;10;Каждый камень закреплён вручную
Брошь;Маленькая (до 3 см);2.5;1.3;1.6;3;5;Простая геометрическая форма
Брошь;Средняя (3-6 см);2.5;1.6;1.9;5;8;С камнями, застёжка-булавка
Брошь;Крупная (более 6 см);2.5;1.9;2.2;7;12;Сложная композиция
Брошь;Цветочный дизайн;2.5;2.0;2.5;8;14;Лепестки, текстура
Брошь;Животные/насекомые;2.5;2.2;2.8;10;16;Детализация, несколько камнейЫ
